"ChgOpId","Partner","Type","Nb_Nodes_source","nb_activ_source","nb_AndGtw_source","nb_XorGtw_source","Nb_Nodes_target","nb_activ_target","nb_AndGtw_target","nb_XorGtw_target","nb_affected_partners","nb_Insert_genreated","nb_Replace_generated","nb_Delete_generated","exec_time"
"1de725a8-3ccd-4936-82b6-b52d1c4dc448","partner12","Insert","14","4","0","8","40","8","2","22","4","4","0","0","78406"
"88a5a292-1a02-4730-ac62-d03057ecea70","partner19","Insert","8","2","0","4","15","3","0","8","2","2","0","0","554"
"1f99b998-e661-4432-aeb0-05d41c87db78","Acquirer","Replace","6","2","2","0","5","3","2","0","1","0","1","0","4"
"ecc421d7-7cbb-4a74-afef-13e48101a2b1","Traveler","Insert","4","2","0","0","45","21","4","16","2","2","0","0","578"
"6dd7b318-2ea5-4bcb-aba9-d86300d4fa29","partner9","Replace","21","11","4","4","24","20","0","4","6","0","1","5","137"
"7b98328f-fcae-4f13-8352-b7dfe3296e4d","partner7","Insert","3","1","0","0","3","1","0","0","1","1","0","0","336"
"1209e89b-4076-4eea-ac59-681c0b5e6649","partner14","Insert","14","12","0","0","22","16","0","0","3","3","0","0","2842"
"efdcfbf1-8198-4a80-9315-513f42bd6686","partner12","Insert","8","2","0","4","22","6","0","12","2","2","0","0","770"
"cc46e6a0-e362-4b05-8a8b-1a0bfc5e9c73","partner15","Insert","15","11","0","2","19","11","0","4","2","2","0","0","957"
"9783cdf2-0a16-40d5-822b-cf9325c38532","partner7","Insert","17","7","0","8","127","41","6","68","6","6","0","0","132310"
"614d74ca-696b-42b7-8196-8834c6351d21","partner7","Insert","3","1","0","0","4","2","0","0","1","1","0","0","1476"
"4213a8c1-2f21-4c3f-b0ab-be2d2a7b81b9","partner8","Replace","46","18","8","16","116","46","2","68","7","0","7","0","335"
"0a6ff8cd-05ea-4925-a2a0-5f47d081e548","partner17","Insert","5","1","0","2","5","1","0","2","1","1","0","0","277"
"a1257854-3f1e-4ab8-a236-63a1f245403d","partner9","Replace","8","2","0","4","9","3","0","4","2","1","0","1","4647"
"100b4d98-d229-4977-b17d-3a3d9e36b8fb","Acquirer","Replace","16","6","2","6","21","9","0","12","2","0","2","0","19"
"2adc0eed-9a6d-4bb4-8755-dfbb5b1aef33","partner9","Replace","23","9","6","6","67","43","6","16","7","1","2","4","527"
"4c2235f7-578b-4e2a-8e01-f92fb01d3406","partner4","Insert","10","4","0","4","23","4","3","8","4","4","0","0","62204"
"eef5e628-53d5-405f-bc83-bceda5877329","partner17","Replace","15","5","2","6","25","11","0","10","5","2","0","3","1769"
"e406f7f5-b39f-491d-97fe-9988cc2d6e80","partner9","Replace","42","18","6","16","135","49","6","66","9","7","2","0","133469"
"8c1a5ce7-fe6f-4a07-8d1d-33b9b999f7e6","partner4","Delete","4","2","0","2","2","2","0","0","2","0","0","2","28"
"5946aefc-dd73-42bf-b055-b4be4406c850","partner15","Insert","3","1","0","0","15","13","0","0","1","1","0","0","336"
"a5054d07-86d6-4c15-8bb3-8bc6e12a3210","partner9","Replace","13","5","2","4","8","6","0","0","5","1","0","4","2557"
"bc826538-0c42-4e36-b697-c888baec98da","partner3","Replace","6","2","0","2","5","3","0","2","1","0","1","0","4"
"92c08493-7db1-4481-9127-a31df4d9089d","partner10","Insert","13","11","0","0","27","15","2","2","4","4","0","0","78358"
"91762d66-5810-4842-a34e-c21afb108074","TravelAgency","Delete","1","1","0","0","1","1","0","0","1","0","0","1","3"
"33568c88-3c7e-498e-8e5f-fbd133634f26","partner16","Insert","3","1","0","0","4","1","1","0","1","1","0","0","16887"
"e2c8861b-c1c2-4e0e-904a-0978c0e021f3","partner7","Insert","11","5","0","4","29","5","0","14","5","5","0","0","1554"
"5abd9486-0943-4b43-b889-0f5d07827998","partner16","Replace","13","3","0","8","20","4","0","12","3","2","0","1","9852"
"b76844a3-cca5-4402-8b55-121e73262d54","partner20","Insert","6","2","0","2","14","6","0","4","2","2","0","0","540"
"ed4b1808-aec0-4df6-860d-2691f12306e6","partner3","Insert","4","2","0","0","6","2","0","0","2","2","0","0","5105"
"e3de06a3-4dcd-4e7f-8420-462ecffde25b","partner7","Insert","3","1","0","0","3","1","0","0","1","1","0","0","706"
"0939c80b-5cb3-4f95-a8ec-493990f33d04","partner3","Replace","12","4","0","6","19","7","0","10","3","1","2","0","456"
"856e7a5c-4ac4-4d5d-891e-a06eea349d58","partner9","Insert","3","1","0","0","20","14","0","4","1","1","0","0","104361"
"52955b94-6743-4ae2-a12c-4a34280cb34f","Acquirer","Insert","6","2","0","2","10","2","0","4","2","2","0","0","579"
"d8767fe5-bda7-45bc-8a49-937455f56b40","partner10","Insert","21","13","0","6","63","25","4","24","5","5","0","0","8680"
"9afc250f-87b8-4970-8a92-7e620def8b15","partner17","Insert","6","2","0","2","10","2","0","4","2","2","0","0","1583"
"6bdc65a1-c684-4f7b-b397-40e45af7bd51","partner3","Insert","3","1","0","0","7","3","0","2","1","1","0","0","2517"
"6d2910b5-f425-4733-8262-a6357b9e0bcb","partner14","Insert","18","12","0","4","30","12","0","12","3","3","0","0","1028"
"138b9628-3a63-42cf-a52c-edc73d38cd49","partner7","Insert","15","7","0","6","115","41","6","56","6","6","0","0","150617"
"a1671686-9643-4062-ac95-d458202afe84","partner3","Replace","7","3","0","2","9","3","0","4","3","1","0","2","465"
"f595459d-64be-4ae3-8ee2-d85d2ad7f166","partner10","Insert","3","1","0","0","3","1","0","0","1","1","0","0","1924"
"534ee97e-2d03-4400-a43c-abadf683794f","partner7","Replace","6","2","0","2","21","15","0","4","2","1","0","1","39577"
"ef7d58b4-5997-4bcd-abb9-52e9789220dd","partner16","Insert","3","1","0","0","3","1","0","0","1","1","0","0","9915"
"f548e366-0c42-4dc3-b313-7904acb4e215","Airline","Insert","7","3","0","2","9","3","0","2","2","2","0","0","26498"
"07f4eba2-326c-44ac-8d3f-aed07ad6094d","partner3","Replace","6","2","0","2","12","6","0","4","2","1","0","1","41159"
"c49c92b0-3a47-4e83-8634-5451e20fd508","partner12","Insert","6","2","0","2","12","4","0","4","2","2","0","0","561"
"27fcd7b1-8464-4738-af7d-bf4702c532ae","partner9","Insert","20","10","4","4","63","33","2","16","6","6","0","0","29127"
"cbb745aa-3f74-4dfb-95b5-6d1babb5dbdf","partner7","Insert","3","1","0","0","11","5","2","2","1","1","0","0","12419"
"4f6fa3a7-7da8-4277-bedc-b2d79d375d8f","partner17","Insert","3","1","0","0","3","1","0","0","1","1","0","0","280"
"4f106903-78e8-411e-8b0c-dad3d661b09f","partner2","Insert","3","1","0","0","3","1","0","0","1","1","0","0","4666"
"ed295436-02a2-48da-bbea-ae60a62c345e","partner7","Insert","3","1","0","0","4","2","0","0","1","1","0","0","1784"
"c8a182aa-d1f3-4576-9901-b022179ea113","partner9","Insert","3","1","0","0","11","5","0","4","1","1","0","0","4397"
"5b729f8e-4424-44d0-b53a-1a17301ba66f","partner7","Insert","5","1","0","2","17","5","0","10","1","1","0","0","1819"
"dc57511a-ded3-4622-a3c0-a663c8722a74","partner6","Insert","6","2","0","2","14","4","0","6","2","2","0","0","683"
"3658cfa0-58e2-4cf8-9cdd-6df047de5b52","partner9","Insert","3","1","0","0","5","3","0","0","1","1","0","0","359"
"6e34c2e9-8580-4f58-94c2-ab312eeaf7c2","partner3","Replace","10","4","2","2","8","4","0","0","4","2","0","2","716"
"5d844b82-9fb1-46f5-8adf-fa4da04aa442","partner19","Insert","8","2","0","4","14","2","0","8","2","2","0","0","518"
"4c09ec66-f659-4afa-bc36-f5a1ef9fc79f","Traveler","Insert","3","1","0","0","4","2","0","0","1","1","0","0","307"
"e0110a72-19db-412a-8249-6ca7d86503b6","partner9","Insert","3","1","0","0","3","1","0","0","1","1","0","0","423"
"7e052081-8d1a-40fc-9ae1-bd1cb3424fb4","partner7","Insert","3","1","0","0","7","3","0","2","1","1","0","0","337"
"f97c59e9-6655-44c9-b529-c137163bba6a","partner12","Replace","20","6","0","12","16","4","0","12","2","0","2","0","62"
"441f4919-ecfb-4960-8bc0-b183946cdbb9","partner7","Insert","17","7","0","8","69","19","4","34","6","6","0","0","68108"
"86a14da2-5888-4dc5-bc48-733698a1cbcf","partner9","Insert","3","1","0","0","3","1","0","0","1","1","0","0","259"
"bde45492-a06a-4e9c-9bae-67719f71769d","partner8","Insert","3","1","0","0","4","2","0","0","1","1","0","0","842"
"88d623b0-e043-46f3-aa01-bd9403ed953c","partner8","Replace","7","3","0","2","2","2","0","0","2","0","0","2","21"
"01237ee7-03df-44bb-ab0f-5a4ec54aaa3f","partner15","Insert","17","11","0","4","27","15","0","8","2","2","0","0","750"
"863c0115-6c0d-49c2-8437-c3359d46b6e6","partner9","Insert","3","1","0","0","3","1","0","0","1","1","0","0","7111"
"4de0f8ae-182f-48b2-b55b-9309cf93de2c","partner8","Insert","4","2","0","0","24","20","0","0","2","2","0","0","19233"
"0eb667db-c9fb-4674-976c-1999a968caab","Acquirer","Replace","16","6","4","4","24","10","2","12","2","0","2","0","20"
"57947efd-8a08-4a9d-85c6-37b9a6ae26ef","partner7","Replace","39","23","2","12","45","27","4","14","10","0","1","9","457"
"6eb8a8ab-30c4-4bff-aa69-013ecdb375d7","partner7","Replace","18","8","0","8","36","8","0","18","6","5","1","0","9563"
"eaed4ccc-9314-4222-aa58-1ccae7b8a3ac","partner7","Insert","3","1","0","0","20","14","0","4","1","1","0","0","80376"
"81c31a6c-70e9-4093-bcc4-3170276aadc3","partner17","Insert","11","3","0","6","21","3","0","12","3","3","0","0","1502"
"652847c3-5ff1-4193-933f-c04158446a57","partner3","Insert","3","1","0","0","11","5","0","4","1","1","0","0","29999"
"2744431d-1b30-47db-8f35-c911245fa77d","partner9","Insert","3","1","0","0","20","14","0","4","1","1","0","0","24388"
"aff86470-cc31-45bc-99d2-e3623f71b90c","partner9","Insert","9","3","2","2","38","18","4","10","3","3","0","0","3724"
"2c1be20e-f9c0-42ff-83b7-0c1f90c3b7e5","partner9","Replace","7","3","2","0","6","4","0","2","2","0","1","1","11"
"a474a232-d019-421d-b8b4-4f91331ed60b","partner7","Replace","10","4","0","4","13","7","4","0","4","1","0","3","370"
"da736bf5-7dc7-46fe-8b4d-2af3a0950bee","partner7","Replace","7","3","0","2","2","2","0","0","2","0","0","2","25"
"bbf2b7d5-9bfd-4ad8-b856-db97a4b0dffc","partner3","Replace","6","2","2","0","12","6","0","4","2","1","0","1","10738"
"043d4ec9-2262-4eba-a0b1-65b5fa7bd3e3","partner8","Replace","27","11","6","8","48","22","2","24","5","0","4","1","111"
"1d5aea98-7c6f-4c7c-8648-004e4df5f809","partner7","Replace","6","2","0","2","4","2","0","0","2","1","0","1","1712"
"dc3651a2-5a19-4cf0-9cd2-39e28975a9d4","partner17","Insert","9","3","0","4","17","5","0","6","3","3","0","0","1131"
"038e76e2-9650-4640-b03b-b5d45ff6d918","partner7","Replace","12","4","0","6","13","5","4","2","4","1","0","3","1093"
"faf35540-731a-48bf-9d49-2333b747c7df","TravelAgency","Insert","4","2","0","0","6","2","0","0","2","2","0","0","839"
"5712f203-d21d-48e8-a5b0-bc0c9ab47f13","partner7","Insert","7","3","0","2","13","3","0","4","3","3","0","0","1000"
"50ce6cf5-647c-440b-a170-ad8251210988","partner17","Replace","9","3","0","4","7","3","0","2","3","1","0","2","302"
"b04754fe-a099-4c7c-9eeb-bd37ee65413d","partner7","Insert","3","1","0","0","11","5","2","2","1","1","0","0","331"
"5d0c0d45-74b1-4cfb-afa4-9af6dcb5cc91","partner4","Insert","3","1","0","0","3","1","0","0","1","1","0","0","278"
"3cc89fc8-825a-4e04-89ac-2e7d54141df6","partner5","Insert","3","1","0","0","20","14","0","4","1","1","0","0","101887"
"eb36e6a2-9b08-4724-9be9-24b2aaabba9e","partner5","Insert","3","1","0","0","13","5","0","6","1","1","0","0","1108"
"54db441b-f187-4729-8a74-47e4e4b4b114","partner12","Insert","3","1","0","0","3","1","0","0","1","1","0","0","337"
"5c58c5d9-ab16-490a-b9d2-e3f22922d312","partner9","Replace","6","2","0","2","1","1","0","0","1","0","0","1","12"
"cdb6fc96-ca3b-495e-adc8-291d500adbc3","partner8","Insert","3","1","0","0","3","1","0","0","1","1","0","0","7782"
"aa793de4-582a-4026-92c0-2dff2486a5ef","partner9","Replace","6","2","0","2","4","2","0","0","2","1","0","1","3675"
"0021533f-e3bb-494c-b3af-0c7a2f03b9d0","partner9","Insert","4","2","0","0","6","2","0","0","2","2","0","0","45330"
"3750943b-95c2-4f6d-ba35-0e84c5a3c165","partner9","Replace","6","2","2","0","5","3","0","2","1","0","1","0","3"
"84a03bd8-c7d1-4cb5-afea-8fd93a513b6d","partner17","Insert","18","6","2","8","46","10","0","26","5","5","0","0","79615"
"7a844575-4cee-489f-aa36-3d539726a83f","partner7","Insert","5","1","0","2","5","1","0","2","1","1","0","0","1553"
"01c01fb2-dc37-452a-875d-068806dda2a0","partner9","Insert","20","10","4","4","63","31","2","18","6","6","0","0","122565"
"5dec3cc0-943c-45f3-869f-bfd8545a112c","partner9","Insert","14","6","2","4","38","14","0","14","5","5","0","0","11110"
"ff01a101-1582-440b-943f-d4ac1150452e","partner8","Replace","24","10","4","8","15","11","0","4","7","0","1","6","262"
"a8fc853d-59fb-4784-a238-23caade5221a","partner7","Insert","3","1","0","0","3","1","0","0","1","1","0","0","3116"
"28217d4d-323a-4e46-8d12-4fc0a7884fa1","partner8","Insert","21","9","4","6","72","32","0","26","7","7","0","0","23924"
"77c04244-bb48-4e7f-9420-e9d77b1b506a","partner9","Insert","6","4","0","0","10","6","0","0","2","2","0","0","1440"
"058462e8-9489-4255-b7e8-75c0fca87384","partner8","Insert","3","1","0","0","4","2","0","0","1","1","0","0","1799"
"a2edb8fd-3a1a-411a-9b5a-066e5f1226b4","partner9","Replace","6","2","0","2","4","2","0","0","2","1","0","1","2884"
"76ee2804-0751-4155-abac-ffd023f45474","partner15","Replace","16","12","0","2","18","16","0","2","2","0","1","1","43"
"dcaba054-90ed-4e0b-a233-3c0705c24ac4","partner16","Replace","8","2","0","4","6","2","0","4","1","0","1","0","4"
"216b1949-1bb3-4446-be3f-431963210e4d","partner18","Insert","3","1","0","0","3","1","0","0","1","1","0","0","271"
"2bcd8e4b-3d5a-4436-b018-85b0e7312bb1","TravelAgency","Insert","6","2","0","2","10","2","0","4","2","2","0","0","534"
"15dd79ec-02e6-43ba-8ab8-135bd671d4ce","partner8","Insert","4","2","0","0","13","7","0","2","2","2","0","0","1726"
"53ccf824-839d-4957-a566-a02d9518667a","partner3","Insert","5","1","0","2","13","5","0","6","1","1","0","0","11065"
"dbe35e33-276e-412d-9e0f-c15492642932","partner7","Replace","6","2","0","2","21","15","0","4","2","1","0","1","39623"
"883928a6-f3bc-49f9-929d-c42ac7a10d3e","partner7","Insert","3","1","0","0","3","1","0","0","1","1","0","0","2987"
"1b3c67d8-b989-4b44-8546-096d6ca7123c","partner6","Insert","3","1","0","0","3","1","0","0","1","1","0","0","283"
"a1c17c57-de2a-4553-8caa-63ba6afadc21","TravelAgency","Insert","4","2","0","0","6","2","0","0","2","2","0","0","678"
"c63d5378-b6d8-4e1e-aad8-51276be5a58e","partner11","Insert","3","1","0","0","17","7","2","6","1","1","0","0","2980"
"3af44424-e0b4-4ac6-851e-8a62a72cfe1b","partner20","Insert","10","2","0","6","18","2","0","12","2","2","0","0","707"
"12e204db-68a1-42c3-8fca-d1ff52628fc9","partner15","Replace","20","12","0","4","17","15","0","2","2","0","1","1","17"
"82794f91-7070-4f10-8a55-448a6028ed08","partner20","Delete","4","2","0","2","2","2","0","0","2","0","0","2","11"
"3f331c3e-79e7-469b-9747-ed88cfe333fa","partner1","Insert","8","2","0","4","11","3","0","4","2","2","0","0","559"
"c648d424-9064-4c16-9936-56b4827a474c","partner12","Insert","14","4","0","8","32","4","0","20","4","4","0","0","21192"
"e982af3b-f98c-4fe6-827e-edaada47e59a","partner8","Insert","23","9","4","8","89","33","0","42","7","7","0","0","23988"
"c73d1591-8f0c-428c-8ab8-680420a7eeed","partner3","Replace","17","7","2","6","17","9","0","8","6","0","1","5","131"
"47e6b937-9628-4e0b-849d-699647fd11bf","partner3","Insert","4","2","0","0","6","2","0","0","2","2","0","0","6622"
"3832d50a-31a0-42ef-802f-b9f76256733d","TravelAgency","Replace","7","3","0","2","12","6","0","4","3","1","0","2","29764"
"87033247-c2df-4c48-86bd-18d1bb0e7d6d","partner12","Insert","4","2","0","0","8","4","0","0","2","2","0","0","566"
"79de8ee6-307d-4699-8962-2d8284f138f6","partner3","Replace","34","14","2","14","20","14","0","6","10","0","1","9","409"
"c5f26fb0-925c-495a-b27f-3b36afe73b4a","partner7","Insert","3","1","0","0","13","5","0","6","1","1","0","0","2937"
"4946eb97-647f-4474-bbec-1fbfa4b8247d","partner7","Delete","1","1","0","0","1","1","0","0","1","0","0","1","19"
"744c3f1b-4f6c-4f75-aa8b-b5f7bdf94ab4","partner9","Replace","23","11","4","6","12","10","0","2","6","0","0","6","208"
"9061770e-23c5-4e19-93a5-9ba1f342768d","Acquirer","Insert","3","1","0","0","3","1","0","0","1","1","0","0","837"
"c6a79874-59fb-4e31-abc9-d2da952c2108","partner3","Replace","8","2","2","2","14","6","0","6","2","1","0","1","10620"
"f5f05ac4-8e6f-47c3-b01a-979099037bda","partner16","Replace","19","5","0","12","35","7","0","22","4","3","1","0","20120"
"0e21515a-89e4-4c5e-974d-149045e73aac","partner9","Replace","38","20","8","8","66","44","6","16","6","0","6","0","137"
"0a252618-29e3-421a-bfdb-07dbb986af8c","partner17","Insert","3","1","0","0","3","1","0","0","1","1","0","0","8089"
"85e93bed-5931-45a5-a410-6a03fbff871e","partner8","Replace","15","5","4","4","38","12","0","20","5","3","1","1","9693"
"569ddf7d-67f5-46d7-af87-df15afe4f0e1","partner10","Insert","6","2","0","2","30","11","5","10","2","2","0","0","4638"
"6fd0efaf-d674-4259-a98d-7dc56f563a5b","partner9","Insert","3","1","0","0","3","1","0","0","1","1","0","0","12669"
"16a6d165-e49b-4797-ab7f-fa5f0001e3c6","partner10","Replace","9","3","0","4","20","10","2","6","3","1","0","2","459"
"59391425-bf8e-4f9f-9fca-97469e081776","partner18","Insert","4","2","0","0","7","3","0","0","2","2","0","0","908"
"e01ef6d0-8d47-451d-b313-81f10ef517ad","partner6","Insert","6","2","0","2","10","2","0","4","2","2","0","0","680"
"03615694-b27e-4263-b808-c0a8a5e9458e","partner16","Insert","3","1","0","0","4","2","0","0","1","1","0","0","276"
"78ff3454-1ff4-45fe-ba47-3b47adfaa13a","partner8","Replace","31","13","6","10","50","24","2","24","7","0","4","3","211"
"8fc6dcff-dfba-4846-a00f-d3f8712044c0","partner3","Replace","7","3","0","2","9","5","0","2","3","1","0","2","39196"
"4bf2d3c9-f3a3-4ef5-8e86-3b3cd93c67c8","partner7","Insert","3","1","0","0","20","14","0","4","1","1","0","0","103378"
"20e67e44-3e6f-437b-845f-1717d1e201ec","partner7","Replace","18","8","0","8","14","8","4","2","6","0","1","5","128"
"47108fb4-c676-44c2-b544-1f91626b3005","partner8","Delete","1","1","0","0","1","1","0","0","1","0","0","1","22"
"c382724d-03aa-49aa-b8e4-992e8563f904","partner9","Insert","18","6","2","8","47","13","0","24","5","5","0","0","3155"
"be758821-9f7b-49ba-ac03-d2a244be244b","partner7","Insert","21","15","2","2","79","45","4","18","6","6","0","0","8503"
"c910569f-bc7b-4b27-a8be-c42d0a15a830","partner9","Replace","9","3","2","2","9","5","0","0","3","2","0","1","582"
"5e1d11ab-db28-40c0-be7a-e1bf0f3f61f4","partner9","Replace","16","6","2","6","15","7","0","8","4","0","2","2","49"
"518dda99-42d6-4eae-ab53-124d04c9a8d8","Acquirer","Replace","13","5","2","4","19","11","2","6","2","0","1","1","24"
"dcb3e0f5-bb31-4929-bd4c-144b238763d1","partner3","Insert","3","1","0","0","3","1","0","0","1","1","0","0","3149"
"6139a8cd-7ea6-46d0-8a0b-c5dd042baaec","partner3","Insert","3","1","0","0","9","7","0","0","1","1","0","0","24947"
"36d3a267-4aa1-4996-b4cf-cc3d55aba20e","partner6","Insert","3","1","0","0","7","3","0","2","1","1","0","0","293"
"a610cad1-c30e-49b3-9053-7215fc69d7bc","TravelAgency","Insert","3","1","0","0","3","1","0","0","1","1","0","0","411"
"7f654fa7-4dc4-4fd1-a22c-7799c9d5e420","partner3","Insert","3","1","0","0","3","1","0","0","1","1","0","0","290"
"77ee7bcb-3652-431b-9898-609dda3dadce","partner3","Replace","7","3","0","2","15","9","0","4","3","1","0","2","17411"
"1c15823e-16ac-44ec-8bd8-0e80fedb67b1","partner3","Replace","6","2","2","0","9","5","0","2","2","1","0","1","353"
"9dcf48c4-21e2-4cd1-b391-e276a05a7008","partner3","Replace","29","11","4","12","57","21","0","36","6","0","6","0","117"
"7664186f-3ed6-4f8d-9df4-8c9b64d4965f","partner3","Insert","31","13","2","14","119","37","2","60","10","10","0","0","38506"
"aaf7cec6-bb3c-4707-be60-4c85b9baf97e","partner4","Insert","3","1","0","0","7","3","0","2","1","1","0","0","451"
"16a9d995-041d-4b7d-87a4-93250ed1b8f8","partner7","Replace","7","3","0","2","6","4","0","2","2","0","1","1","26"
"f64d7aaf-3976-4bf7-8180-ce0bda73d9af","partner3","Insert","5","1","0","2","5","1","0","2","1","1","0","0","593"
"5b222dd1-1188-4b07-a4ec-6bd6822cfac9","partner19","Insert","3","1","0","0","3","1","0","0","1","1","0","0","262"
"38ced6e0-91f8-4e3a-b816-f510a7b1abbd","partner4","Insert","3","1","0","0","3","1","0","0","1","1","0","0","291"
"f310eee5-f467-45bd-a87d-80e6330b9d0a","TravelAgency","Insert","4","2","0","0","10","6","0","0","2","2","0","0","524"
"2946459b-3e2f-4a97-a1af-a9b4cf172004","partner7","Delete","1","1","0","0","1","1","0","0","1","0","0","1","6"
"44ed92bd-6890-40dd-b684-a4c0a7f1a547","partner19","Insert","6","2","0","2","10","2","0","4","2","2","0","0","522"
"1a373d61-928b-4bff-9955-3afe331fc501","partner4","Insert","6","2","0","2","22","8","2","8","2","2","0","0","8923"
"8c4347ad-d81b-4703-ae24-cfd18242c145","TravelAgency","Insert","12","6","2","2","29","13","0","6","5","5","0","0","83416"
"9435473e-0943-4638-b74a-f7890616a1fb","partner9","Replace","44","18","6","16","71","41","6","24","9","0","2","7","582"
"fa6b16db-a24e-4700-9568-a6b26a19607f","partner7","Insert","3","1","0","0","7","3","0","2","1","1","0","0","272"
"e3efcc56-4165-40f2-bea8-fdf8ec21800b","partner5","Insert","3","1","0","0","3","1","0","0","1","1","0","0","257"
"5e168808-ed31-46c3-bf08-6ee80e7bde44","partner11","Replace","11","3","0","6","8","4","2","2","2","0","1","1","30"
"e1cb3dc4-9754-497c-bef9-80a4e410d446","TravelAgency","Insert","8","4","0","2","18","6","0","6","3","3","0","0","1219"
